topic_no	topic_zeta	topic_words	interpretable?_BC	category_BC	interpretable?_JR	category_JR	interpretable?_LV	category_LV	interpretable?_phi4	category_phi4
13	0.0205585274	[diamonds, jewels, necklace, pearls, stones, ring, gems, gem, stone, thief]	yes	theme	yes	theme	yes	setting	yes	setting
9	0.0185069403	[holmes, watson, sherlock, sherlock holmes, lestrade, case, baker street, sir, friend, raffles]	yes	main character	yes	main character	yes	main character	yes	main character
46	0.0141065014	[coroner, deceased, jury, witness, evidence, body, verdict, murder, suicide, inquest]	yes	theme	yes	theme	yes	theme	yes	theme
14	0.0128872635	[money, pounds, dollars, cheque, bank, pay, business, notes, want, sum]	yes	theme	yes	theme	yes	theme	no	
15	0.0127064616	[kennedy, shattuck, honora, laboratory, lathrop, clutching hand, case, jameson, dr, doctor]	no		no		no		yes	main character
12	0.0099930795	[doctor, dr, patient, nurse, physician, medical, room, sir, door, medicine]	no		no		no		no	
117	0.0071837301	[poison, morphine, arsenic, dose, administered, poisoning, drug, kennedy, pills, coroner]	yes	theme	yes	theme	yes	theme	yes	theme
57	0.0063760746	[jury, prisoner, judge, court, counsel, evidence, guilty, verdict, trial, case]	yes	theme	yes	theme	no		yes	setting
47	0.0063177185	[house, room, windows, furniture, old, hall, rooms, walls, place, wall]	yes	setting	yes	setting	yes	setting	yes	setting
3	0.0061964663	[author, story, 50, 8vo, york, book, illustrations, illustrated, ii, iii]	no		no		no		no	
152	0.0060278606	[window, elk, door, room, windows, floor, locked, lock, key, house]	yes	setting	yes	setting	yes	setting	yes	setting
109	0.0058766532	[hurst, testator, thorndyke, executor, property, document, estate, jellicoe, clause, blackmore]	no		no		yes	setting	yes	setting
34	0.0057265873	[juve, fandor, fantômas, dollon, havard, vagualame, monsieur, journalist, vinson, bobinette]	no		no		yes	main character	yes	main character
140	0.0055339238	[letter, letters, paper, ink, written, handwriting, envelope, writing, sheet, read]	yes	theme	no		no		yes	style
27	0.005175436	[rover, boys, biplane, crabtree, rover boys, pelter, rovers, _dartaway_, machine, sobber]	no		no		yes	main character	no	
54	0.0051641322	[sir, old, gentleman, room, door, didn, butler, little, want, quite]	no		no		no		yes	main character
157	0.0047443099	[inspector, constable, policeman, sir, trasmere, sergeant, police, cosgrove, goldberry, carver]	yes	main character	yes	main character	yes	main character	yes	main character
24	0.004516928	[gray seal, seal, bat, gray, carruthers, tocsin, underworld, markel, magpie, flashlight]	no		yes	setting	yes	style	yes	setting
282	0.004363549	[key, keys, lock, locked, door, hewitt, morriston, door locked, room, window]	yes	setting	yes	setting	yes	setting	yes	setting
93	0.0040430927	[door, sound, hall, light, room, window, floor, stairs, open, wall]	yes	setting	yes	setting	yes	main character	yes	setting
56	0.0040297289	[briarfield, bellin, cask, strent, fen inn, sabin, middlemore, fen, marshminster, inn]	no		no		no		yes	setting
213	0.0039457867	[berlyn, french, pyke, domlio, crate, sergeant, police, colonel domlio, monsieur, daw]	no		yes	main character	yes	main character	no	
79	0.0037451324	[tobacco, cigar, cigarette, smoke, cigarettes, smoking, pipe, cigars, smoked, pocket]	yes	main character	no		no		yes	setting
127	0.0037016164	[markham, benson, pfyfe, cleaver, leacock, skeel, greene, district attorney, mannix, sergeant]	no		no		no		yes	main character
132	0.0036623318	[revolver, pistol, weapon, bullet, rand, gun, fired, cartridges, shot, loaded]	yes	theme	yes		yes	theme	yes	setting
124	0.0036611903	[room, sir, kenly, vincott, little, eyes, door, looked, face, old]	no		no		no		yes	setting
314	0.0034238692	[thorndyke, polton, footprints, microscope, prints, thumb, inspector, deceased, shoes, glass]	yes	theme	yes	theme	yes	main character	yes	setting
78	0.0033756754	[pant, russian, igloo, hanada, fire, cio, jap, jap girl, firebug, reindeer]	no		yes	setting	no		no	
118	0.0033129763	[carrington, mallien, hendle, beatson, tollart, cromarty, barrister, bisset, rattar, barship]	no		no		no		no	
196	0.0033118348	[wu, chinaman, chinese, tarling, theydon, yeh, chuh, tab, wong, forbes]	no	theme	no		no		no	
103	0.0032894502	[furneaux, osborne, fenley, hylda, clarke, prout, hylda prout, marsh, de bercy, farrow]	no		no		no		no	
237	0.0032703787	[chauffeur, car, driver, train, cab, motor, road, station, taxi, street]	no	theme	yes	setting	yes	setting	yes	setting
201	0.0030744021	[leavenworth, gryce, clavering, aggie, harwell, trueman, cousin, crime, ethelwynn, belden]	no		no		no		yes	main character
80	0.0029970861	[octagon, cuthbert, mallow, caranby, maraquito, pavoya, claremanagh, pearls, jennings, orrin]	no		no		no		no	
450	0.0028840217	[coglin, evidence, constable, murder, crime, police, burfoot, inspector, prisoner, calton]	yes	main character	yes	theme	yes	main character	yes	main character
26	0.0028320687	[door, room, light, window, sound, bed, darkness, candle, dream, heard]	yes	setting	yes	setting	yes	setting	yes	setting
83	0.0027675327	[wendover, armadale, inspector, stenness, sir, chief constable, fleetwood, constable, shandon, ardsley]	no		yes	main character	no		yes	main character
39	0.0026551636	[wine, drink, bottle, glass, whisky, table, liquor, drinking, drunk, cupples]	yes	theme	no		no		no	
-1	0.0024445441	[little, time, came, eyes, old, face, room, hand, day, away]	no		no		no		no	
537	0.0024259448	[detective, barnes, bradys, criminal, brisson, shorty, detectives, tulmin, crime, police]	yes	main character	yes	main character	yes	main character	yes	main character
267	0.0024080149	[hewitt, plummer, crellan, mayes, geldard, seton, case, office, cameo, ritter]	no		no		no		no	
180	0.0023553665	[dyke, hillmer, mensmore, corbett, sir dyke, barrister, sir, mansions, detective, putney]	no		no		no		yes	main character
