topic_no	topic_zeta	topic_words	interpretable?_BC	category_BC	interpretable?_JR	category_JR	interpretable?_LV	category_LV	interpretable?_phi4	category_phi4
0	0.0538695688	[boat, ship, captain, sea, deck, water, island, vessel, pencroft, shore]	yes	setting	yes	setting	yes	theme	no	
44	0.024371777	[comet, earth, planet, jupiter, orbit, saturn, stars, planets, 000, space]	yes	setting	yes	setting	yes	setting	yes	setting
38	0.0206775902	[mars, martian, martians, planet, earth, disintegrators, electrical, ships, asteroid, electrical ships]	yes	setting	yes	setting	yes	setting	yes	setting
21	0.0169009514	[kinnison, lensman, patrol, worsel, planet, boskonian, lensmen, lens, space, base]	no		yes	setting	yes	setting	yes	setting
53	0.0165667539	[seaton, duquesne, space, fenachrone, screens, vessel, beam, ship, planet, screen]	no		yes	theme	yes	theme	yes	setting
72	0.0162789796	[balloon, albatross, robur, machine, uncle prudent, prudent, air, flying, aeronaut, wings]	yes	setting	yes	theme	yes	theme	no	
41	0.0107549062	[nemo, nautilus, captain nemo, conseil, _nautilus_, captain, canadian, sea, meters, ocean]	yes	setting	yes	setting	yes	setting	no	
26	0.0104267958	[door, room, light, window, sound, bed, darkness, candle, dream, heard]	no		no		no		no	
156	0.0088551156	[lunar, ardan, barbicane, nicholl, projectile, earth, barbican, disc, surface, satellite]	yes	setting	yes	setting	yes	main character	yes	setting
91	0.0085733461	[pomp, yez, shure, av, celt, yo, sor, inventor, ther, begorra]	no		yes	style	no		no	
230	0.0085383941	[ice, pole, polar, dipsey, arctic, sea, antarctic, polar sea, clewe, south]	yes	setting	yes	setting	yes	setting	yes	setting
158	0.0084319229	[soul, life, human, world, universe, body, earth, death, theory, science]	no		yes	theme	yes	theme	yes	theme
69	0.0083074373	[germany, war, england, germans, nations, country, nation, falbe, government, world]	no		yes	theme	yes	theme	no	
128	0.0076881575	[barbicane, projectile, ardan, nicholl, barbican, velocity, lunar, maston, disc, gun club]	no		yes	style	yes	main character	yes	setting
105	0.0073009937	[repeller, crab, fleet, ships, crabs, vessels, syndicate, british, _ithuriel_, adamant]	no		yes	setting	yes	theme	yes	setting
81	0.0072010657	[helium, tar, jeddak, manator, sanoma, tul axtar, axtar, tul, gahan, tavia]	no		yes	style	yes	main character	no	
121	0.0070530993	[stone, walls, priests, marble, gold, city, ancient, palace, wall, pillars]	yes	setting	yes	setting	yes	setting	no	
67	0.0058522661	[polaris, minos, oleric, sardanes, kalin, ruthar, zenas, bel ar, bel, snows]	no		yes	setting	no		no	
347	0.0058407949	[lava, volcano, eruption, crater, harding, colonists, island, mountain, spilett, volcanic]	no		yes	setting	yes	setting	no	
40	0.0057878285	[croft, naia, zitu, jadgor, aphur, robur, tamarizia, helmor, lakkon, himyra]	no		yes	style	yes	style	no	
251	0.0057758189	[cave, ab, mammoth, beast, rhinoceros, bearwarden, ayrault, tree, bear, tiger]	yes	theme	yes	theme	yes	main character	no	
473	0.0046443513	[sky, earth, crystals, flame, space, snow, crater, professor, light, cone]	no		yes	theme	yes	setting	yes	setting
211	0.0043150818	[gold, metal, paper money, treasure, saxe, metals, gold silver, oxygen, silver, herzog]	no		no		yes	setting	no	
133	0.0042926778	[cabot, ant, cupia, cupian, poblath, formians, cupians, toron, kuana, doggo]	no		yes	style	no		no	
107	0.0041517931	[hanlon, yandor, amir, roches, ruler, admiral, irad, panek, auldin, mind]	no		yes	style	no		yes	main character
238	0.0039289947	[nah, ee lah, nah ee, nah ee lah, lah, laythe, ko tah, ee, kalkars, tah]	no		yes	style	yes	style	no	
190	0.0038115908	[ostrog, council, council house, asano, shouting, sleeper, tramp tramp, tramp, tramp tramp tramp, perceived]	no		no		no		no	
317	0.0037766388	[mahars, sagoths, ghak, pellucidar, hooja, phutra, mahar, sagoth, arena, slaves]	no		yes	style	yes	setting	no	
476	0.0036767108	[huyck, scientific, science, professor, gouldesbrough, lord malvin, malvin, discovery, robold, dr]	no		yes	main character	yes	main character	yes	main character
207	0.0034599173	[harkness, schwartzmann, kreiss, walt, bullard, pilot, towahg, ship, spud, ape]	no		no		no		yes	main character
339	0.0033659941	[rawson, smithy, loah, gor, flame, mole men, culver, red, rock, mole]	no		no		no		no	
486	0.003102239	[dolphin, stanhope, pomp, captain uriah, uriah, whale, boat, inventor, submarine boat, submarine]	yes	setting	yes	setting	yes	setting	no	
578	0.0030083158	[acid, iron, sulphuric, sulphate, coal, engineer, harding, glycerine, sulphuric acid, azotic]	yes	theme	yes	theme	yes	theme	no	
150	0.0029728254	[maid, alway, mine, truly, lookt, mine arms, verity, kist, surely, afterward]	no		no		no		no	
189	0.0029198591	[bees, rolla, cunora, dulnop, corrus, emmon, hives, hive, wax, sting]	no		yes	theme	yes	main character	no	
288	0.0028608879	[wireless, wires, wire, radio, current, apparatus, kennedy, telephone, message, receiver]	yes	theme	yes	theme	yes	theme	yes	style
367	0.0026975991	[schlichten, kankad, kragans, konkrook, keegark, contragravity, geeks, kragan, zangwe, terran]	no		yes	style	no		no	
572	0.0026915943	[pyramid, verity, diskos, utter, truly, land, mighty, mighty pyramid, redoubt, night land]	no		yes	setting	yes	style	no	
55	0.0026828975	[desert, arab, camels, rrisa, domini, sand, camel, arabs, allah, master]	no		yes	setting	yes	setting	no	
457	0.0026506376	[japanese, manila, parrington, _mindoro_, japan, pacific, fleet, ships, american, squadron]	no		yes	setting	yes	theme	no	
460	0.0024922768	[nordenholt, nitrogen, area, nitrogen area, huntingtower, output, henley davenport, graphs, factories, flint]	no		yes	theme	yes	theme	no	
516	0.002468796	[phorenice, nais, atlantis, deucalion, empress, zaemon, gods, yucatan, tatho, sacred mountain]	no		yes	setting	yes	setting	no	
607	0.0024278392	[steam, pomp, steam horse, reade, wagon, cowboys, reade jr, vigilants, savages, harmon]	no		yes	theme	yes	style	no	
422	0.0024158296	[containing, tricks, illustrated, containing full, book, fully illustrated, full directions, little book, full instructions, complete]	no		no		no		no	
